Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
19.08.2020;3102;3435;80;33;NaN;NaN;91
20.08.2020;3225;3245;123;33;NaN;NaN;70
21.08.2020;3316;3833;91;33;NaN;NaN;57
22.08.2020;3356;1723;40;33;NaN;NaN;58
23.08.2020;3424;929;68;33;NaN;NaN;59
24.08.2020;3452;2103;28;33;NaN;NaN;65
25.08.2020;3536;4090;84;33;NaN;NaN;68
26.08.2020;3626;3636;90;33;NaN;NaN;60
27.08.2020;3728;4360;102;33;NaN;NaN;68
28.08.2020;3842;4453;114;33;NaN;NaN;76
29.08.2020;3876;1951;34;33;NaN;NaN;80
30.08.2020;3917;588;41;33;NaN;NaN;83
31.08.2020;3989;2763;72;33;NaN;NaN;82
01.09.2020;4042;2428;53;33;NaN;NaN;85
02.09.2020;4163;3519;121;37;NaN;NaN;81
03.09.2020;4300;4772;137;37;NaN;NaN;91
04.09.2020;4526;5947;226;37;NaN;NaN;90
05.09.2020;4614;2462;88;37;NaN;NaN;103
06.09.2020;4636;922;22;37;NaN;NaN;109
07.09.2020;4727;2891;91;37;NaN;NaN;112
08.09.2020;4888;5309;161;37;NaN;NaN;115
09.09.2020;5066;5021;178;37;NaN;NaN;121
10.09.2020;5252;4266;186;37;NaN;NaN;126
11.09.2020;5453;6191;201;38;NaN;NaN;119
12.09.2020;5532;3080;79;38;NaN;NaN;125
13.09.2020;5580;1425;48;38;NaN;NaN;135
14.09.2020;5768;4323;188;38;NaN;NaN;137
15.09.2020;5860;3235;92;38;NaN;NaN;145
16.09.2020;6021;4027;161;39;NaN;NaN;154
17.09.2020;6256;5542;235;39;NaN;NaN;147
18.09.2020;6546;5750;290;39;NaN;NaN;162
19.09.2020;6677;3443;131;39;NaN;NaN;164
20.09.2020;6756;1952;79;39;NaN;NaN;179
21.09.2020;6931;2664;175;40;NaN;NaN;185
22.09.2020;7269;6231;338;41;NaN;NaN;205
23.09.2020;7629;5213;360;41;NaN;NaN;220
24.09.2020;8048;5540;419;41;NaN;NaN;243
25.09.2020;8600;6483;552;44;NaN;NaN;254
26.09.2020;9078;5655;478;44;NaN;NaN;273
27.09.2020;9343;1954;265;44;NaN;NaN;288
28.09.2020;9574;2561;231;45;NaN;NaN;306
29.09.2020;10141;7350;567;48;NaN;NaN;311
30.09.2020;10938;9170;797;48;NaN;NaN;325
01.10.2020;11617;7824;679;54;NaN;NaN;336
02.10.2020;12321;9492;704;54;NaN;NaN;366
03.10.2020;13139;8565;818;55;NaN;NaN;398
04.10.2020;13492;3382;353;55;NaN;NaN;414
05.10.2020;13812;3750;320;55;NaN;NaN;432
06.10.2020;14689;8679;877;55;NaN;NaN;450
07.10.2020;15726;9518;1037;57;NaN;NaN;472
08.10.2020;16910;10136;1184;57;NaN;NaN;505
09.10.2020;18797;11123;1887;61;NaN;NaN;495
10.10.2020;19851;8959;1054;61;NaN;NaN;526
11.10.2020;20355;3998;504;61;NaN;NaN;554
12.10.2020;20886;5058;531;61;NaN;NaN;603
13.10.2020;22296;10228;1410;66;NaN;NaN;623
14.10.2020;24225;12502;1929;71;NaN;NaN;656
15.10.2020;26300;14010;2075;71;NaN;NaN;716
16.10.2020;28268;11904;1968;82;NaN;NaN;748
17.10.2020;29835;10858;1567;88;NaN;NaN;801
18.10.2020;30695;5025;860;92;NaN;NaN;855
19.10.2020;31400;5946;705;98;NaN;NaN;927
20.10.2020;33602;13832;2202;98;NaN;NaN;976
21.10.2020;35330;9365;1728;115;NaN;NaN;1039
22.10.2020;37911;13369;2581;134;NaN;NaN;1081
23.10.2020;40801;13525;2890;159;NaN;NaN;1139
24.10.2020;43843;16048;3042;159;NaN;NaN;1197
25.10.2020;45155;6175;1312;165;NaN;NaN;1310
26.10.2020;46056;5899;901;176;NaN;NaN;1366
27.10.2020;48943;14642;2887;184;NaN;NaN;1399
28.10.2020;51728;14355;2785;200;NaN;NaN;1445
29.10.2020;55091;16556;3363;212;NaN;NaN;1453
30.10.2020;57664;18074;2573;219;NaN;NaN;1367
31.10.2020;59946;21949;2282;219;NaN;NaN;1405
01.11.2020;61829;21477;1883;219;NaN;NaN;1453
02.11.2020;63556;18994;1727;235;NaN;NaN;1503
03.11.2020;66772;13377;3216;261;NaN;NaN;1434
04.11.2020;68734;12864;1962;286;NaN;NaN;1458
05.11.2020;71088;11615;2354;317;NaN;NaN;1488
06.11.2020;73667;15767;2579;351;NaN;NaN;1511
07.11.2020;75495;15466;1828;351;NaN;NaN;1573
08.11.2020;76072;4956;577;366;NaN;NaN;1634
09.11.2020;77123;6813;1051;390;NaN;NaN;1595
10.11.2020;79181;12891;2058;414;NaN;NaN;1582
11.11.2020;81772;12584;2591;464;NaN;NaN;1525
12.11.2020;83796;10736;2024;491;NaN;NaN;1515
13.11.2020;85567;10742;1771;510;NaN;NaN;1431
14.11.2020;86767;6545;1200;510;NaN;NaN;1462
15.11.2020;87276;1771;509;526;NaN;NaN;1484
16.11.2020;88602;7837;1326;557;NaN;NaN;1509
17.11.2020;89913;5833;1311;579;NaN;NaN;1517
18.11.2020;91578;7913;1665;579;NaN;NaN;1499
19.11.2020;93396;9836;1818;614;NaN;NaN;1475
20.11.2020;95257;10554;1861;644;NaN;NaN;1433
21.11.2020;96241;5691;984;671;NaN;NaN;1447
22.11.2020;96472;1773;231;693;NaN;NaN;1485
23.11.2020;97493;6545;1021;709;NaN;NaN;1486
24.11.2020;99304;10145;1811;732;NaN;NaN;1492
25.11.2020;101257;10723;1953;749;NaN;NaN;1497
26.11.2020;103106;10928;1849;771;NaN;NaN;1536
27.11.2020;104633;9892;1527;798;NaN;NaN;1513
28.11.2020;105733;7536;1100;816;NaN;NaN;1541
29.11.2020;105929;1063;196;839;NaN;NaN;1572
30.11.2020;107183;7991;1254;868;NaN;NaN;1575
01.12.2020;109226;11136;2043;898;NaN;NaN;1577
02.12.2020;111208;10264;1982;930;NaN;NaN;1569
03.12.2020;113392;11221;2184;957;NaN;NaN;1606
04.12.2020;115462;12670;2070;981;NaN;NaN;1579
05.12.2020;116731;7195;1269;996;NaN;NaN;1626
